hwm_id,stateName,countyName,height_above_gnd,elev_ft,hwm_environment,latitude,longitude
33874,SC,Horry County,2.17,21.85,Riverine,33.917325,-78.807967
33877,SC,Horry County,1.67,21.79,Riverine,33.917261,-78.808207
33818,SC,Horry County,1.34,21.77,Riverine,33.865508,-78.802
33970,NC,Pender County,3.8,21.61,Riverine,34.54055,-77.85318
33885,SC,Horry County,1.1,21.6,Riverine,33.907697,-78.828066
33632,NC,Pitt County,0,21.57,Riverine,35.36354,-77.42882
34013,SC,Horry County,4,20.88,Riverine,33.857,-78.866
34015,SC,Horry County,1.2,20.87,Riverine,33.863,-78.871
33772,NC,Jones County,5.93,20.85,Riverine,35.0076253,-77.224158
34073,SC,Horry County,1.92,20.74,Riverine,33.794,-79.177
33998,SC,Horry County,2.95,20.72,Riverine,33.89805,-78.88508
33702,NC,Onslow County,5.15,20.68,Riverine,34.8432608,-77.5010823
34000,SC,Horry County,3.14,20.5,Riverine,33.88757,-78.90382
33709,NC,Onslow County,1.4,20.49,Coastal,34.645653,-77.188103
34016,SC,Horry County,2.25,20.31,Riverine,33.862,-78.885
33767,NC,Jones County,6.55,20.13,Riverine,35.0081542,-77.218457
34018,SC,Horry County,1.15,20.13,Riverine,33.856,-78.891
33961,NC,Pender County,4,20.08,Riverine,34.43451,-78.10749
33734,NC,Onslow County,5.24,19.77,Riverine,34.737598,-77.232462
34011,NC,Pender County,6.56,19.71,Riverine,34.43502,-78.03467
34001,SC,Horry County,1.32,19.68,Riverine,33.854,-78.915
33958,SC,Georgetown County,1.24,19.44,Riverine,33.6873432,-79.3145819
33836,SC,Horry County,1.15,19.41,Riverine,33.849972,-78.894598
34019,SC,Horry County,1.1,19.36,Riverine,33.837,-78.894
34181,NC,New Hanover County,5.67,18.56,Riverine,34.336965,-77.897259
33951,NC,Brunswick County,4.41,18.35,Riverine,34.32176,-78.11721
33983,NC,Pender County,4.75,18.15,Riverine,34.47974,-77.8709
33571,NC,Brunswick County,0.25,18.13,Riverine,34.3119147,-78.1140804
34030,SC,Horry County,1.53,17.74,Riverine,33.8499143,-79.0870065
34115,SC,Horry County,4.61,17.68,Riverine,33.834,-78.957
34020,SC,Horry County,1.1,17.12,Riverine,33.842,-78.977
34006,SC,Horry County,1.74,16.96,Riverine,33.849,-78.996
33982,NC,Pender County,5.29,16.65,Riverine,34.45224,-77.829580000000007
34109,NC,New Hanover County,1.7,16.56,Riverine,34.214637,-77.925877
33775,NC,Onslow County,1.77,16.49,Riverine,34.820031,-77.456793
33777,NC,Onslow County,4.07,16.42,Riverine,34.822384,-77.4579383
34076,SC,Horry County,2.27,15.74,Riverine,33.706,-79.131
34086,SC,Horry County,0.42,15.6,Riverine,33.86389,-79.04393
34036,SC,Horry County,2.4,15.45,Riverine,33.8607613,-79.0576537
34123,SC,Horry County,3.58,15.45,Riverine,33.854,-79.044
34134,SC,Horry County,3.06,15.44,Riverine,33.85299,-79.04788
34034,SC,Horry County,3.25,15.43,Riverine,33.8711343,-79.038317
34088,SC,Horry County,2.45,15.42,Riverine,33.8409,-79.04665
34032,SC,Horry County,1.25,15.4,Riverine,33.8476149,-79.0707117
34009,SC,Horry County,0.74,15.21,Riverine,33.842,-79.031
34876,NC,Craven County,0,15.03,Riverine,35.301135,-77.264727
34095,SC,Horry County,3.12,15.02,Riverine,33.83264,-79.04528
33990,NC,Pender County,7.02,14.99,Riverine,34.44767,-77.80376
33987,NC,Pender County,1.87,14.9,Riverine,34.39301,-77.7678
34148,SC,Horry County,2.35,14.86,Riverine,33.67259,-79.10784
33989,NC,Pender County,3.62,14.67,Riverine,34.3661,-77.80975
34161,SC,Horry County,1.42,14.05,Riverine,33.81429,-79.03775
34054,NC,Pender County,5.1,13.99,Riverine,34.3978732,-77.9089005
34101,SC,Horry County,0.87,13.93,Riverine,33.80943,-79.07713
34159,SC,Horry County,1.62,13.9,Riverine,33.80909,-79.0356
34097,SC,Horry County,1.44,13.87,Riverine,33.83,-79.059
34100,SC,Horry County,0.37,13.77,Riverine,33.82168,-79.06734
34136,SC,Horry County,1.97,13.77,Riverine,33.80967,-79.07031
33976,NC,Carteret County,3.58,13.58,Riverine,34.784784,-76.875653
33769,NC,Onslow County,6.36,13.46,Riverine,34.74831,-77.32991
34157,SC,Horry County,2.37,13.46,Riverine,33.79371,-79.0498
33966,NC,New Hanover County,0.83,13.4,Riverine,34.33189,-78.0003
33771,NC,Onslow County,4.83,13.38,Riverine,34.74831,-77.32991
34106,NC,New Hanover County,0.83,12.89,Riverine,34.23182,-77.909393
33652,NC,Craven County,0.87,12.82,Riverine,35.14915,-77.04272
34144,SC,Horry County,1.44,12.73,Riverine,33.75557,-79.07022
34143,SC,Horry County,0,12.6,Riverine,33.793,-79.071
34118,SC,Horry County,1.87,12.54,Riverine,33.73125,-79.03036
34191,SC,Horry County,3.11,12.34,Riverine,33.72472222,-79.05972222
33941,NC,Carteret County,4.2,12.32,Riverine,34.78442,-76.862882
34142,SC,Horry County,1.6,12.22,Riverine,33.72165,-79.03534
34116,SC,Horry County,1.13,11.82,Riverine,33.71841,-78.95443
33627,NC,Craven County,0.4,11.58,Riverine,34.887621,-76.930228
34117,SC,Horry County,2.56,11.54,Riverine,33.691905,-79.043072
34158,SC,Horry County,0,11.47,Riverine,33.674,-79.055
34072,SC,Horry County,2.42,11.35,Riverine,33.650869,-79.096063
34138,SC,Horry County,1.25,11.3,Riverine,33.65,-79.062
34139,SC,Horry County,0,11.21,Riverine,33.649,-79.062
33868,NC,Craven County,2.6,11.05,Riverine,35.115397,-77.01821
33651,NC,Craven County,0.78,11.01,Riverine,35.15254,-77.04691
34102,SC,Horry County,3.69,11,Riverine,33.69615,-78.98503
34145,SC,Horry County,3.44,10.98,Riverine,33.67985,-79.01085
34092,SC,Horry County,2.67,10.95,Riverine,33.692125,-79.00208
34098,SC,Horry County,2.51,10.89,Riverine,33.68605,-79.00285
34151,SC,Horry County,2.84,10.86,Riverine,33.679774,-79.099328
33537,NC,Craven County,6.95,10.84,Riverine,35.104357,-77.018073
34099,SC,Horry County,4,10.78,Riverine,33.689,-78.991
34141,SC,Horry County,1.25,10.66,Riverine,33.68,-79.041
34096,SC,Horry County,2.49,10.61,Riverine,33.701852,-78.974077
33691,NC,Craven County,4.5,10.48,Riverine,35.124685,-77.051978
33969,NC,New Hanover County,2.82,10.48,Riverine,34.33189,-78.0003
